date,mvrv_z,mvrv,CapMrktCurUSD,cap_realizado
2025-01-23,2.9144007794608657,2.455447281433525,2064328780521.9456,840713948994.5641
2025-01-24,2.932368337298973,2.4651832101972833,2074905969601.072,841684285783.7823
2025-01-25,2.933207102820241,2.4670204525538764,2077919319246.3328,842278918723.7003
2025-01-26,2.8324587728932236,2.418361700134125,2037685117515.953,842589062423.1027
2025-01-27,2.78208594378514,2.3934124984483267,2019387256103.3848,843727212677.5363
2025-01-28,2.740196146736454,2.373287118165897,2004189620164.2607,844478362867.9202
2025-01-29,2.8640280524353723,2.436318963363576,2059342337478.6729,845267950726.5953
2025-01-30,2.9063309226360845,2.457756213004062,2080567196550.592,846531151276.2122
2025-01-31,2.7738400263571683,2.3926271926371023,2026616849789.96,847025753124.6505
2025-02-01,2.692375749571716,2.353296238999732,1993920956096.3496,847288549164.4967
2025-02-02,2.5405982855932883,2.2785882985362735,1930841758541.5393,847385093560.7277
2025-02-03,2.726367620529021,2.371727104993572,2013289499842.96,848870637605.8457
2025-02-04,2.546373044734499,2.280750094282139,1939319258389.1665,850298883359.057
2025-02-05,2.479764006337767,2.246535583279113,1913818765841.2043,851897819952.5044
2025-02-06,2.4732777364471143,2.243314171452448,1913505112568.9353,852981333118.4121
2025-02-07,2.4620926510485783,2.2387599646519223,1910441627490.0967,853348129167.1786
2025-02-08,2.468309119415256,2.2429885869544703,1914834861591.3328,853697995936.4374
2025-02-09,2.4484506355697087,2.232532160927027,1909058965339.104,855109278491.3766
2025-02-10,2.4932178658891826,2.2560105134383015,1930221128141.7024,855590484460.963
2025-02-11,2.4164422042110956,2.2178405166069126,1899157386552.5637,856309266753.8132
2025-02-12,2.5014419427320216,2.261466528982128,1937857410916.4807,856902981353.7406
2025-02-13,2.441858797869079,2.2326518009087044,1913685805334.97,857135807991.2357
2025-02-14,2.4778287350111516,2.25166232416674,1931169458434.916,857663885791.3888
2025-02-15,2.4814437122686055,2.254483790385446,1934566256851.844,858097212808.5667
2025-02-16,2.414324061368888,2.221961475316798,1906837582148.7031,858177607186.8365
2025-02-17,2.3932246997096875,2.212551004856131,1899111947271.7964,858335895129.0184
2025-02-18,2.373854893878111,2.2037234329299973,1892284519009.4756,858676043796.2749
2025-02-19,2.4247589956906603,2.2304732158403096,1916190866477.272,859096111474.8761
2025-02-20,2.4995142478523147,2.269163375900631,1950814347183.5208,859706430970.0674
2025-02-21,2.3896848911936934,2.2145337837142764,1904394119450.7417,859952615514.6931
2025-02-22,2.41077236081058,2.2259723481715947,1915474255560.6936,860511253490.6631
2025-02-23,2.3841714368578217,2.213616967746432,1905320016311.215,860727056248.996
2025-02-24,2.19083623535098,2.1164194813823665,1821643280725.7832,860719387980.6632
2025-02-25,2.0487728237878158,2.045057192561317,1760217123608.3984,860717798021.0066
2025-02-26,1.8335847821029059,1.937156888282904,1665439114292.4233,859733728520.393
2025-02-27,1.8601813198444035,1.951252300853544,1678120562077.0845,860022336087.9664
2025-02-28,1.8418836240203047,1.9428821960052791,1670593691979.4983,859853312472.7645
2025-03-01,1.9123055220846226,1.979772195615528,1702372786377.574,859883167441.0356
2025-03-02,2.2888366742183197,2.1723352788786894,1870648329293.3423,861123210344.8271
2025-03-03,1.9281086042142563,1.9890487557357124,1711798740468.5623,860611755007.1815
2025-03-04,1.9712640492084748,2.011926611190173,1731824260629.478,860779041838.4108
2025-03-05,2.1148679452490753,2.085499742580572,1797223681143.754,861771231349.9934
2025-03-06,2.093344510082998,2.074588033844596,1789391307662.1536,862528501307.356
2025-03-07,1.9276950219995204,1.990605455895191,1716672116469.4514,862386924232.2811
2025-03-08,1.9088281712147455,1.9817025600012967,1709126347862.4343,862453519695.3654
2025-03-09,1.6613279322204058,1.8553174468191107,1599613333429.7493,862177702350.7439
2025-03-10,1.5877126154871217,1.8183074680565463,1567086259002.0354,861837883048.997
2025-03-11,1.7519480389388526,1.9029557814450992,1641328790899.5469,862515465100.8898
2025-03-12,1.7885516929591447,1.921883426993698,1658883454607.8372,863155085947.5083
2025-03-13,1.675376255300945,1.864334615532672,1608939764835.8203,863010186814.6233
2025-03-14,1.8062443952770457,1.932035459333313,1668398039427.7195,863544212590.9186
2025-03-15,1.8155637554017696,1.9374873260847636,1673333414190.8909,863661605246.3838
2025-03-16,1.7314942506142101,1.894746119450727,1636458050090.93,863681964191.238
2025-03-17,1.7976241626553224,1.929602895545638,1666684786731.2976,863744965650.0466
2025-03-18,1.7370310426512303,1.8989060236861497,1640274370270.4656,863799656123.2507
2025-03-19,1.915386309503205,1.9911932421344407,1721523623549.8943,864568835973.2094
2025-03-20,1.7959275604759153,1.9298268037808353,1669001917236.0315,864845443107.2225
2025-03-21,1.7916795503119594,1.9281651540140552,1667937663818.345,865038796259.7662
2025-03-22,1.7792044909751619,1.9223588315764384,1663052904959.7424,865110549415.974
2025-03-23,1.863033361972677,1.966380986053732,1701578513423.3577,865335113333.3535
2025-03-24,1.9291449469812922,2.0008793939408274,1732605979469.871,865922246346.6031
2025-03-25,1.9314265941830622,2.0026741040033817,1734636202172.6843,866160000124.3912
2025-03-26,1.9032456218488216,1.9885114032158293,1723046786084.8425,866500832380.6058
2025-03-27,1.9177638655527685,1.9967090941768977,1730521029666.2207,866686606833.7273
2025-03-28,1.786559632093148,1.928282346209128,1672972784327.986,867597417783.2084
